City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
535,Saint Anthony,US,72.82,scattered clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
538,Somerset,US,81.84,overcast clouds,40.5668,-74.5496,Hilton Garden Inn Bridgewater
539,Achi,CO,76.93,overcast clouds,8.5682,-74.554,Hotel Sahar
541,Puerto Quijarro,BO,80.42,clear sky,-17.7833,-57.7667,Hotel palance
543,Tapah,MY,80.51,broken clouds,4.2004,101.2598,Shahrini Homestay
546,Balabac,PH,81.81,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
547,Vermilion,US,70.32,clear sky,40.1667,-87.7506,Sparkling Springs Cabin
548,Moratuwa,LK,78.82,overcast clouds,6.773,79.8816,Sa Mansion By Yoho
550,Alofi,NU,82.29,broken clouds,-19.0595,-169.9187,Taloa Heights
554,Lhokseumawe,ID,78.26,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
555,Kousseri,CM,78.76,clear sky,12.0769,15.0306,Le Pilotis
556,Dimbokro,CI,71.89,moderate rain,6.6451,-4.7048,complexe hôtelier le jardin d'Eden
557,Jiwani,PK,81.84,overcast clouds,25.05,61.7417,Al Mumtaz Transport Jiwani
562,Nantucket,US,75.31,broken clouds,41.2835,-70.0995,Jared Coffin House
563,Makakilo City,US,86.32,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
564,The Valley,AI,83.1,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
567,Nova Olimpia,BR,79.0,few clouds,-14.7972,-57.2881,Motel glamour
568,Myitkyina,MM,76.84,moderate rain,25.3833,97.4,Shwe Phyu Hotel
572,Sao Felix Do Xingu,BR,79.68,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
575,Okitipupa,NG,73.13,scattered clouds,6.5047,4.7839,Coastal Hotel & Suites
580,Coxim,BR,83.32,clear sky,-18.5067,-54.76,Hotel Avenida
581,Chester,US,79.21,light rain,40.1254,-75.8749,"Holiday Inn Morgantown - Reading Area, an IHG Hotel"
586,Tezu,IN,78.21,overcast clouds,27.9167,96.1667,Circuit House
587,Lat Yao,TH,78.26,overcast clouds,15.751,99.7893,หจก. ลาดยาวการเกษตร
591,Manicore,BR,73.13,overcast clouds,-5.8092,-61.3003,Hotel Durval
592,Dakar,SN,84.33,thunderstorm,14.6937,-17.4441,Redface Studios Meublés
593,Sao Manuel,BR,70.79,overcast clouds,-22.7311,-48.5706,Zeminian & Zeminian Ltda
596,Dauphin,CA,78.94,clear sky,51.1494,-100.0502,Canway Inn & Suites
597,Alta Floresta,BR,75.13,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
599,Sidrolandia,BR,79.59,clear sky,-20.9319,-54.9614,Agropet São Francisco
