City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
271,Dingle,PH,2021-09-13 20:54:50,10.9995,122.6711,75.47,91,88,2.62
272,Del Rio,US,2021-09-13 20:54:50,29.3627,-100.8968,90.43,45,75,9.22
273,Bengkulu,ID,2021-09-13 20:54:50,-3.8004,102.2655,72.99,88,100,6.69
274,Katima Mulilo,NA,2021-09-13 20:54:51,-17.5,24.2667,71.47,27,77,6.73
275,Diffa,NE,2021-09-13 20:54:51,13.3154,12.6113,78.42,74,100,8.16
276,Aktash,RU,2021-09-13 20:54:51,50.3,87.7333,24.4,66,1,2.04
277,Chaohu,CN,2021-09-13 20:54:52,31.6,117.8667,69.91,96,71,8.55
278,Dasoguz,TM,2021-09-13 20:54:52,41.8363,59.9666,66.15,26,0,11.5
279,Zhenhai,CN,2021-09-13 20:54:52,24.2582,118.0905,79.48,85,59,6.98
280,Luderitz,NA,2021-09-13 20:54:53,-26.6481,15.1594,54.41,72,0,18.66
281,Daru,PG,2021-09-13 20:54:53,-9.0763,143.2092,77.95,90,78,10.92
282,Kjollefjord,NO,2021-09-13 20:54:53,70.9457,27.3465,42.58,81,75,10.36
283,Moron,AR,2021-09-13 20:50:45,-34.6534,-58.6198,64.29,81,27,8.99
284,Barra Do Garcas,BR,2021-09-13 20:54:54,-15.89,-52.2567,99.18,30,0,5.75
285,Husavik,IS,2021-09-13 20:54:54,66.0449,-17.3389,48.11,61,73,28.5
286,La Paz,BO,2021-09-13 20:50:49,-16.5,-68.15,69.78,16,20,14.97
287,Lompoc,US,2021-09-13 20:54:55,34.6391,-120.4579,95.02,68,1,14.97
288,Muros,ES,2021-09-13 20:54:55,42.7762,-9.0603,67.84,89,46,4.65
289,Turukhansk,RU,2021-09-13 20:54:55,65.8167,87.9833,40.53,93,100,11.07
290,Kruisfontein,ZA,2021-09-13 20:54:56,-34.0033,24.7314,53.89,94,100,1.45
291,Shestakovo,RU,2021-09-13 20:54:56,56.4915,103.96,45.07,94,99,3.62
292,Sakakah,SA,2021-09-13 20:54:56,29.9697,40.2064,80.17,20,0,9.01
293,Erenhot,CN,2021-09-13 20:54:57,43.6475,111.9767,63.79,55,100,13.65
294,Sarangani,PH,2021-09-13 20:54:57,5.4033,125.4636,83.12,74,98,8.97
