City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
160,Mbanza-Ngungu,CD,-5.25,14.8667,71.92,77,83,8.46,broken clouds
161,Kaeo,NZ,-35.1,173.7833,67.32,82,10,13.71,clear sky
162,Cabedelo,BR,-6.9811,-34.8339,77.67,83,73,11.61,broken clouds
163,Villa Bruzual,VE,9.3328,-69.1208,76.5,83,7,1.59,clear sky
164,Cockburn Town,TC,21.4612,-71.1419,82.36,78,75,8.05,broken clouds
165,Bartlesville,US,36.7473,-95.9808,82.69,69,1,0.0,clear sky
166,Cherskiy,RU,68.75,161.3,35.28,57,80,15.21,broken clouds
167,Mao,ES,39.8885,4.2658,73.96,64,0,17.27,clear sky
168,Komsomolskiy,UZ,40.4272,71.7189,65.12,45,0,4.61,clear sky
169,Saskylakh,RU,71.9167,114.0833,42.8,93,100,13.18,light rain
170,Port-Cartier,CA,50.0334,-66.8654,52.02,97,100,2.86,overcast clouds
171,Lake City,US,30.1897,-82.6393,76.78,100,75,0.0,broken clouds
172,Hohhot,CN,40.8106,111.6522,59.29,88,20,2.24,few clouds
173,Pontes E Lacerda,BR,-15.2261,-59.3353,77.67,70,19,2.24,few clouds
174,Pisco,PE,-13.7,-76.2167,62.65,77,72,13.8,broken clouds
175,Namibe,AO,-15.1961,12.1522,60.21,86,15,4.18,few clouds
176,Harper,LR,4.375,-7.7169,75.83,88,100,8.88,moderate rain
177,Fort Nelson,CA,58.8053,-122.7002,51.39,62,75,10.36,broken clouds
178,Kaitangata,NZ,-46.2817,169.8464,45.16,85,98,5.12,overcast clouds
179,Camacha,PT,33.0833,-16.3333,71.02,73,20,11.5,few clouds
180,Nanortalik,GL,60.1432,-45.2371,39.0,76,0,5.68,clear sky
181,Corinto,GR,37.9407,22.9573,73.76,60,0,4.03,clear sky
182,Miri,MY,4.4148,114.0089,75.34,88,20,1.14,few clouds
183,Mananjary,MG,-21.2167,48.3333,67.33,89,10,6.76,clear sky
184,Ngerengere,TZ,-6.75,38.1167,70.0,93,43,1.14,scattered clouds
185,Xinzhi,CN,36.4989,111.7047,69.24,85,100,2.64,light rain
186,Qaanaaq,GL,77.484,-69.3632,14.5,70,80,8.25,broken clouds
187,Ocean City,US,39.2776,-74.5746,77.31,88,100,5.99,overcast clouds
188,Urdoma,RU,61.7533,48.5442,40.08,96,100,9.24,overcast clouds
189,Isangel,VU,-19.55,169.2667,82.51,78,75,5.75,broken clouds
190,Ust-Ishim,RU,57.6935,71.1665,49.14,74,100,4.92,overcast clouds
191,Sorland,NO,67.667,12.6934,51.33,69,100,10.87,overcast clouds
192,Mount Isa,AU,-20.7333,139.5,87.57,14,6,17.27,clear sky
193,Provideniya,RU,64.3833,-173.3,41.11,65,75,11.18,broken clouds
194,Shirvan,AZ,39.9509,48.8994,68.83,69,0,3.51,clear sky
195,Pacific Grove,US,36.6177,-121.9166,76.8,81,1,1.01,clear sky
196,Melo,UY,-32.3667,-54.1833,47.75,81,0,4.12,clear sky
197,Zhuanghe,CN,39.7008,122.9911,71.15,77,100,4.61,overcast clouds
198,Lorengau,PG,-2.0226,147.2712,77.22,88,100,10.85,overcast clouds
199,Slave Lake,CA,55.2834,-114.769,46.38,76,90,19.57,overcast clouds
200,Dicabisagan,PH,17.0818,122.4157,85.03,68,84,2.68,broken clouds
201,Pevek,RU,69.7008,170.3133,31.01,68,100,11.95,overcast clouds
202,Sao Filipe,CV,14.8961,-24.4956,80.44,82,35,7.0,scattered clouds
203,Vestmanna,FO,62.1564,-7.1664,47.32,100,75,2.3,broken clouds
204,Dourados,BR,-22.2211,-54.8056,72.03,80,89,8.5,overcast clouds
205,Japura,ID,-0.3167,102.35,80.46,78,51,3.18,broken clouds
206,Kumluca,TR,36.3703,30.2869,71.13,61,0,5.82,clear sky
207,Porto Velho,BR,-8.7619,-63.9039,77.05,88,20,2.3,light rain
208,Hamilton,US,39.1834,-84.5333,71.42,84,1,5.61,clear sky
209,Amurzet,RU,47.6967,131.0981,60.1,52,100,4.32,moderate rain
210,Kayankulam,IN,9.1833,76.5,76.39,90,100,5.26,moderate rain
211,Port Elizabeth,ZA,-33.918,25.5701,54.1,87,0,10.36,clear sky
212,Esperance,AU,-33.8667,121.9,60.64,65,69,24.47,broken clouds
213,Nzega,RW,-2.479,29.5564,57.92,76,97,3.87,overcast clouds
214,Novikovo,RU,51.1537,37.8879,46.27,64,41,6.06,scattered clouds
215,Adrar,MR,20.5022,-10.0711,93.42,19,56,14.45,broken clouds
216,Imeni Poliny Osipenko,RU,52.4201,136.4853,58.15,71,100,10.27,overcast clouds
217,Boyolangu,ID,-8.1181,111.8935,78.8,81,90,6.02,overcast clouds
218,Flin Flon,CA,54.7682,-101.865,52.05,61,16,11.65,few clouds
219,Miedzychod,PL,52.5988,15.897,66.67,96,100,9.44,overcast clouds
220,Port Macquarie,AU,-31.4333,152.9167,57.16,64,48,10.92,scattered clouds
221,Merauke,ID,-8.4667,140.3333,83.64,56,81,12.66,broken clouds
222,Ouegoa,NC,-20.35,164.4333,76.57,48,60,9.53,broken clouds
223,Arawa,PG,-6.2132,155.5367,86.97,58,100,5.61,overcast clouds
224,Mehamn,NO,71.0357,27.8492,39.13,76,40,5.77,scattered clouds
225,Lasa,IT,46.6166,10.7002,65.28,96,98,2.44,light rain
226,Luleburgaz,TR,41.4039,27.3592,65.57,65,22,3.83,few clouds
227,Mae Chan,TH,20.1467,99.8526,73.06,95,100,1.01,overcast clouds
228,Severo-Kurilsk,RU,50.6789,156.125,52.86,75,4,9.95,clear sky
229,Hirara,JP,24.8,125.2833,84.47,84,40,4.61,scattered clouds
230,Guangyuan,CN,32.442,105.823,67.01,95,100,4.72,light rain
231,Koumac,NC,-20.5667,164.2833,73.27,58,77,14.76,broken clouds
232,Simbahan,PH,6.3032,120.5836,81.59,78,99,14.76,moderate rain
233,San Andres,CO,12.5847,-81.7006,82.42,78,20,5.75,few clouds
234,Pyshma,RU,56.9523,63.2513,44.53,94,11,7.43,few clouds
235,Ribeira Grande,PT,38.5167,-28.7,71.31,77,10,5.7,clear sky
236,Lagoa,PT,39.05,-27.9833,70.07,75,7,4.68,clear sky
237,Nouadhibou,MR,20.931,-17.0347,76.98,73,4,19.57,clear sky
238,Paamiut,GL,61.994,-49.6678,37.72,75,73,10.85,broken clouds
239,Sola,VU,-13.8833,167.55,83.07,84,75,0.0,broken clouds
240,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,49.98,80,0,4.09,clear sky
241,Portland,US,45.5234,-122.6762,72.45,35,75,1.99,broken clouds
242,Mandalgovi,MN,45.7625,106.2708,58.96,53,0,7.85,clear sky
243,Peniche,PT,39.3558,-9.3811,69.3,90,11,13.02,few clouds
244,San Patricio,US,28.017,-97.5169,86.41,68,50,9.4,scattered clouds
245,Mar Del Plata,AR,-38.0023,-57.5575,53.62,71,0,2.3,clear sky
246,Krasnozerskoye,RU,53.9828,79.2374,55.89,43,100,7.63,overcast clouds
247,Bulls,NZ,-40.1667,175.3833,51.22,83,100,15.23,overcast clouds
248,Sovetskiy,RU,61.3614,63.5842,42.04,97,100,11.81,light rain
249,Hasaki,JP,35.7333,140.8333,75.6,72,21,18.03,few clouds
250,Geraldton,AU,-28.7667,114.6,63.12,59,90,18.41,overcast clouds
251,Alice Springs,AU,-23.7,133.8833,85.55,16,1,9.22,clear sky
252,Andenes,NO,69.3143,16.1194,42.46,87,75,8.05,broken clouds
253,Hun,LY,29.1268,15.9477,72.61,53,3,7.25,clear sky
254,Marovoay,MG,-16.1,46.6333,69.94,71,6,4.74,clear sky
255,Xacmaz,AZ,41.4635,48.806,66.33,55,0,4.45,clear sky
256,Oranzherei,RU,45.8476,47.5663,64.36,55,2,8.55,clear sky
257,Muravlenko,RU,63.7898,74.523,40.64,90,100,9.13,overcast clouds
258,Nanyamba,TZ,-10.6833,39.8333,68.61,90,100,2.51,overcast clouds
259,Ruhengeri,RW,-1.4998,29.635,58.53,87,100,2.98,overcast clouds
260,Wajima,JP,37.4,136.9,74.08,78,40,6.91,scattered clouds
261,Jalor,IN,25.35,72.6167,81.18,79,1,3.38,clear sky
262,Tupik,RU,54.4253,119.9327,46.29,75,10,6.33,clear sky
263,Lamu,KE,-2.2717,40.902,75.42,86,13,12.44,few clouds
264,Ixtapa,MX,20.7,-105.2,80.22,86,100,1.99,overcast clouds
265,Viedma,AR,-40.8135,-62.9967,53.71,37,24,7.09,few clouds
266,Nabire,ID,-3.3667,135.4833,79.7,85,100,4.7,overcast clouds
267,Oranjemund,NA,-28.55,16.4333,51.82,85,0,10.96,clear sky
268,Tautira,PF,-17.7333,-149.15,84.22,77,10,15.48,light rain
269,Tuktoyaktuk,CA,69.4541,-133.0374,50.0,76,75,8.05,broken clouds
270,Tsiroanomandidy,MG,-18.7667,46.0333,62.53,71,10,2.51,clear sky
271,Yelizovo,RU,53.1873,158.3805,57.34,51,0,2.24,clear sky
272,Takoradi,GH,4.8845,-1.7554,74.52,93,95,8.81,light rain
273,Sibut,CF,5.718,19.0739,71.26,97,100,1.92,light rain
274,Torbay,CA,47.6666,-52.7314,51.28,84,75,11.5,broken clouds
275,Caxito,AO,-8.5785,13.6643,72.25,77,100,5.08,overcast clouds
276,Dunedin,NZ,-45.8742,170.5036,48.79,67,100,4.0,overcast clouds
277,Banda Aceh,ID,5.5577,95.3222,81.23,69,100,4.21,moderate rain
278,East Hemet,US,33.74,-116.9389,98.37,17,0,1.99,clear sky
279,Coihaique,CL,-45.5752,-72.0662,48.15,71,75,2.3,broken clouds
280,Ketchikan,US,55.3422,-131.6461,57.67,62,40,4.61,scattered clouds
281,Salina Cruz,MX,16.1667,-95.2,80.51,85,18,6.6,few clouds
282,Divnomorskoye,RU,44.5011,38.1353,62.82,67,6,9.91,clear sky
